date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2013-12-05,pegged,calibration rejected (boundary-pegged),0.013432616188045966,14.0,123.0,474.0
2013-12-06,pegged,calibration rejected (boundary-pegged),0.01532862086059519,12.0,127.0,478.0
2013-12-09,pegged,calibration rejected (boundary-pegged),0.018623140580393424,12.0,114.0,358.0
2013-12-10,pegged,calibration rejected (boundary-pegged),0.016343475681400377,12.0,100.0,357.0
2013-12-11,pegged,calibration rejected (boundary-pegged),0.012596710126201964,13.0,137.0,529.0
2013-12-12,pegged,calibration rejected (boundary-pegged),0.013178409835473987,13.0,121.0,498.0
2013-12-13,pegged,calibration rejected (boundary-pegged),0.012782015944601313,11.0,114.0,409.0
2013-12-16,pegged,calibration rejected (boundary-pegged),0.01371003742704226,10.0,115.0,391.0
2013-12-17,pegged,calibration rejected (boundary-pegged),0.010804123701957869,9.0,105.0,345.0
2013-12-18,pegged,calibration rejected (boundary-pegged),0.014069676524206027,14.0,128.0,475.0
2013-12-19,pegged,calibration rejected (boundary-pegged),0.018406191343451138,13.0,119.0,456.0
2013-12-20,pegged,calibration rejected (boundary-pegged),0.012759168161042566,11.0,124.0,419.0
2013-12-23,pegged,calibration rejected (boundary-pegged),0.012695443538511148,13.0,104.0,366.0
2013-12-24,iv_miss,calibration rejected (iv_rmse=0.0249 > 0.02),0.02490355366107589,12.0,100.0,314.0
2013-12-26,pegged,calibration rejected (boundary-pegged),0.015030348340128615,13.0,110.0,386.0
2013-12-27,iv_miss,calibration rejected (iv_rmse=0.0220 > 0.02),0.02200291238547655,12.0,95.0,327.0
2013-12-30,pegged,calibration rejected (boundary-pegged),0.011754114962103083,14.0,97.0,343.0
2013-12-31,pegged,calibration rejected (boundary-pegged),0.010699986455242146,13.0,106.0,384.0
2014-01-02,pegged,calibration rejected (boundary-pegged),0.009586614396615317,15.0,130.0,551.0
2014-01-03,pegged,calibration rejected (boundary-pegged),0.011215322328226638,15.0,118.0,490.0
2014-01-06,pegged,calibration rejected (boundary-pegged),0.010117319365517512,13.0,129.0,427.0
2014-01-07,pegged,calibration rejected (boundary-pegged),0.013624400398307366,14.0,119.0,406.0
2014-01-08,pegged,calibration rejected (boundary-pegged),0.015511723193624448,14.0,121.0,416.0
2014-01-09,pegged,calibration rejected (boundary-pegged),0.01058631334614313,13.0,121.0,474.0
2014-01-10,pegged,calibration rejected (boundary-pegged),0.00970358770046018,12.0,123.0,437.0
2014-01-13,pegged,calibration rejected (boundary-pegged),0.008653131526892621,12.0,165.0,580.0
2014-01-14,pegged,calibration rejected (boundary-pegged),0.009381399553274116,13.0,142.0,490.0
2014-01-15,pegged,calibration rejected (boundary-pegged),0.011268291896691495,13.0,113.0,420.0
2014-01-16,pegged,calibration rejected (boundary-pegged),0.010236863091981255,14.0,124.0,420.0
2014-01-17,pegged,calibration rejected (boundary-pegged),0.007072212424239269,11.0,141.0,502.0
2014-01-21,pegged,calibration rejected (boundary-pegged),0.012224628921038537,16.0,125.0,523.0
2014-01-22,pegged,calibration rejected (boundary-pegged),0.013696455426603573,14.0,112.0,420.0
2014-01-23,pegged,calibration rejected (boundary-pegged),0.008902622205581748,17.0,143.0,641.0
2014-01-24,pegged,calibration rejected (boundary-pegged),0.010368692811656597,18.0,174.0,763.0
2014-01-27,pegged,calibration rejected (boundary-pegged),0.008508224086889477,16.0,146.0,741.0
2014-01-28,pegged,calibration rejected (boundary-pegged),0.011443436944537604,16.0,137.0,556.0
2014-01-29,pegged,calibration rejected (boundary-pegged),0.00853822300379988,14.0,135.0,614.0
2014-01-30,pegged,calibration rejected (boundary-pegged),0.009400170499661156,17.0,131.0,580.0
2014-01-31,pegged,calibration rejected (boundary-pegged),0.007356955950014268,16.0,136.0,556.0
2014-02-03,pegged,calibration rejected (boundary-pegged),0.008565072475795998,16.0,168.0,870.0
2014-02-04,pegged,calibration rejected (boundary-pegged),0.008684577678097818,15.0,145.0,661.0
2014-02-05,pegged,calibration rejected (boundary-pegged),0.009110701369862879,17.0,148.0,669.0
2014-02-06,pegged,calibration rejected (boundary-pegged),0.010081182188889704,18.0,133.0,650.0
