date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-02-15,1350.3712,0.001527,0.0203,0.07615478014540271,0.5409074370261358,-0.777447844224786,0.4903505623216337,0.02511124743496011,0.12940928988811734,-0.44949476744801586,0.42570059222306256,-0.1580583000776651,0.007347726908166895,0.1932799351120198,347,True,7,110,347,733718,1340.8,1355.81,0.011194809069212441,False,2012-02-15 16:19:57.550
2012-02-16,1352.2582,0.001527,0.020093999999999997,0.05610677713334817,1.44769041140835,-0.767784638695834,0.6940698232797258,0.026196728759341984,0.10589528122816905,-0.49999940753888206,0.44594134531675983,-0.31928243304560294,0.00831433198477507,0.15015618450801885,325,True,8,101,325,375577,1341.22,1359.02,0.013271499082924576,False,2012-02-16 16:19:29.302
2012-02-17,1360.1999,0.001527,0.02005,0.0734575622121829,0.9052411636476246,-0.8052022190557477,0.5482770802748718,0.021185123395550537,0.08875286247014313,-0.4863185165505696,0.4999776759290836,-0.16761413856338972,0.00671236593501938,0.15961319645888816,269,True,9,95,269,368175,1357.31,1363.21,0.00434683307424244,False,2012-02-17 16:18:51.296
2012-02-21,1363.8662,0.001527,0.020038999999999998,0.11349246044408788,0.8128895656796203,-0.7867663535494194,0.8036479844750759,0.023136308159257574,0.08798176979686949,-0.310129038847521,0.4017513490708957,-0.4613364091942397,0.008252848888686956,0.20084651290942446,324,True,9,101,324,488773,1358.11,1367.76,0.007105462738658863,False,2012-02-21 16:19:07.673
2012-02-22,1358.9989,0.001527,0.020111,0.11218024500814608,1.0187213274513047,-0.7690755530963292,0.8853633093340089,0.02199211517400719,0.06588309370412102,-0.38813856920413886,0.47620931543305456,-0.5553073732978455,0.008966026968622427,0.27669766100791654,286,True,7,98,286,424899,1355.61,1362.63,0.005178480536437657,False,2012-02-22 16:18:34.784
2012-02-23,1360.3123,0.001527,0.020053,0.09735366067178679,1.4645919145169226,-0.7806734463532623,1.0438861634693029,0.021497179240754085,0.04360194047933909,-0.40686686520956233,0.49996595605186034,-0.8045315537456141,0.010090635232472011,0.2966627994074222,346,True,10,101,346,363543,1352.28,1364.18,0.008799952672523537,False,2012-02-23 16:19:14.350
2012-02-24,1366.6058,0.001578,0.020028,0.1370003030824082,0.5166928516142971,-0.8382917275769107,0.5622323810936325,0.01672723816997864,0.07263609568881216,-0.42573846873973387,0.499977573488688,-0.17453109580687062,0.009280302460157826,0.5625743828731661,283,True,8,90,283,362019,1363.46,1368.88,0.003975180790048993,False,2012-02-24 16:16:55.072
2012-02-27,1366.12,0.001578,0.020021,0.10891618236010402,0.7379771911786185,-0.8178719655577583,0.7062316004829574,0.021421614174811237,0.07039836658546375,-0.4037141015227187,0.49998012202059566,-0.33800775685670403,0.009854007191272659,0.3315577798221378,380,True,11,102,380,290335,1354.99,1371.94,0.012509317411936616,False,2012-02-27 16:19:08.911
2012-02-28,1370.7968,0.001578,0.019975,0.10767115008801537,0.7841501329912414,-0.7957839144282282,0.7216035008280663,0.022063037820626918,0.0661070719418342,-0.41680779291041575,0.4681052379795441,-0.3518509190856468,0.010476356892944422,0.4399227312968851,301,True,9,100,301,287623,1366.08,1373.09,0.0051314710705083755,False,2012-02-28 16:15:59.544
2012-02-29,1370.7188,0.001578,0.020087,0.10432833566464317,0.8439792091416195,-0.8131348444366239,0.7202642876910605,0.021635589056280644,0.061218078724881504,-0.4288102881571939,0.49695236375293017,-0.34267875167249695,0.00951870479589674,0.44263949623845245,412,True,10,112,412,332615,1363.81,1378.04,0.010434004736730174,False,2012-02-29 16:19:40.211
