strike,maturity_days,moneyness,w,price
1280.2781,120,1.0,call,59.264478106244
1312.2851,120,1.025,call,42.006426438321746
1344.292,120,1.05,call,27.407997243077997
1376.299,120,1.075,call,15.93233166419595
1408.3059,120,1.1,call,7.99510526730619
1440.3129,120,1.125,call,3.467186145055693
1472.3198,120,1.15,call,1.360009350417982
1504.3268,120,1.175,call,0.506610124050115
1536.3337,120,1.2,call,0.1842143027758923
1568.3407,120,1.225,call,0.06626872185146078
960.2086,130,0.75,put,7.101863311821616
992.2155,130,0.775,put,9.298351514933985
1024.2225,130,0.8,put,12.048725594638288
1056.2294,130,0.825,put,15.461008095807294
1088.2364,130,0.85,put,19.657721705189818
1120.2433,130,0.875,put,24.776796613589656
1152.2503,130,0.9,put,30.97250715592731
1184.2572,130,0.925,put,38.41661156325562
1216.2642,130,0.95,put,47.30013545435277
1248.2711,130,0.975,put,57.836866226958485
1280.2781,130,1.0,call,61.514511500582046
1312.2851,130,1.025,call,44.14753835806218
1344.292,130,1.05,call,29.33296381465009
1376.299,130,1.075,call,17.525906715741787
1408.3059,130,1.1,call,9.155408776980192
1440.3129,130,1.125,call,4.18050388166699
1472.3198,130,1.15,call,1.7373715764910331
1504.3268,130,1.175,call,0.688210397170113
1536.3337,130,1.2,call,0.2669050497711794
1568.3407,130,1.225,call,0.1026365752462418
960.2086,140,0.75,put,8.288345145434743
992.2155,140,0.775,put,10.694022089747643
1024.2225,140,0.8,put,13.666062719045405
1056.2294,140,0.825,put,17.307004401412016
1088.2364,140,0.85,put,21.732161317040926
1120.2433,140,0.875,put,27.070468634753396
1152.2503,140,0.9,put,33.46545977712127
1184.2572,140,0.925,put,41.07660213991053
1216.2642,140,0.95,put,50.08150503706359
1248.2711,140,0.975,put,60.68014381830993
1280.2781,140,1.0,call,63.67633978154778
1312.2851,140,1.025,call,46.21548024456144
1344.292,140,1.05,call,31.21155100984413
1376.299,140,1.075,call,19.108916026124295
1408.3059,140,1.1,call,10.341844469733738
1440.3129,140,1.125,call,4.940539252720627
1472.3198,140,1.15,call,2.159104538891142
1504.3268,140,1.175,call,0.9017886355094524
1536.3337,140,1.2,call,0.3695986797982077
1568.3407,140,1.225,call,0.15047687695321882
960.2086,150,0.75,put,9.51524832691631
992.2155,150,0.775,put,12.1208566970315
1024.2225,150,0.8,put,15.302316007168027
1056.2294,150,0.825,put,19.156993793272722
1088.2364,150,0.85,put,23.7936314090312
1120.2433,150,0.875,put,29.333166316464215
1152.2503,150,0.9,put,35.90977227535023
1184.2572,150,0.925,put,43.67238185461449
1216.2642,150,0.95,put,52.78725490849589
1248.2711,150,0.975,put,63.44276765313524
1280.2781,150,1.0,call,65.76128808849045
1312.2851,150,1.025,call,48.21958052164795
1344.292,150,1.05,call,33.048985568195526
1376.299,150,1.075,call,20.681360481188385
1408.3059,150,1.1,call,11.550364988303658
1440.3129,150,1.125,call,5.7431690133610935
1472.3198,150,1.15,call,2.623506139888637
1504.3268,150,1.175,call,1.1475674932247972
1536.3337,150,1.2,call,0.4934026736309642
1568.3407,150,1.225,call,0.21105478650483145
960.2086,160,0.75,put,10.775490713583272
992.2155,160,0.775,put,13.572056748970416
1024.2225,160,0.8,put,16.951554998103823
1056.2294,160,0.825,put,21.006527660831157
1088.2364,160,0.85,put,25.839744217708873
