Start Date,22/06/1997,10000
End Date,07/11/2024,0
,,
,USGG12M Index,
,Last Trade/Last Price,
Dates,LAST_PRICE,
07/11/2000,6.207,
08/11/2000,6.207,
09/11/2000,6.195,
10/11/2000,6.16,
13/11/2000,6.16,
14/11/2000,6.159,
15/11/2000,6.158,
16/11/2000,6.136,
17/11/2000,6.145,
20/11/2000,6.133,
21/11/2000,6.155,
22/11/2000,6.186,
23/11/2000,6.173,
24/11/2000,6.206,
27/11/2000,6.184,
28/11/2000,6.14,
29/11/2000,5.981,
30/11/2000,5.914,
01/12/2000,5.923,
04/12/2000,5.9,
05/12/2000,5.767,
06/12/2000,5.727,
07/12/2000,5.733,
08/12/2000,5.736,
11/12/2000,5.796,
12/12/2000,5.784,
13/12/2000,5.751,
14/12/2000,5.684,
15/12/2000,5.66,
18/12/2000,5.594,
19/12/2000,5.582,
20/12/2000,5.46,
21/12/2000,5.351,
22/12/2000,5.261,
25/12/2000,5.271,
26/12/2000,5.369,
27/12/2000,5.358,
28/12/2000,5.423,
29/12/2000,5.366,
01/01/2001,5.366,
02/01/2001,5.169,
03/01/2001,5.082,
04/01/2001,4.843,
05/01/2001,4.648,
08/01/2001,4.626,
09/01/2001,4.787,
10/01/2001,4.927,
11/01/2001,4.851,
12/01/2001,4.968,
15/01/2001,#N/A,
16/01/2001,4.967,
17/01/2001,4.924,
18/01/2001,4.805,
19/01/2001,4.804,
22/01/2001,4.803,
23/01/2001,4.868,
24/01/2001,4.889,
25/01/2001,4.845,
26/01/2001,4.801,
29/01/2001,4.779,
30/01/2001,4.66,
31/01/2001,4.585,
01/02/2001,4.584,
02/02/2001,4.691,
05/02/2001,4.722,
06/02/2001,4.754,
07/02/2001,4.754,
08/02/2001,4.743,
09/02/2001,4.688,
12/02/2001,4.72,
13/02/2001,4.773,
14/02/2001,4.848,
15/02/2001,4.89,
16/02/2001,4.814,
19/02/2001,4.79,
20/02/2001,4.792,
21/02/2001,4.759,
22/02/2001,4.748,
23/02/2001,4.608,
26/02/2001,4.544,
27/02/2001,4.586,
28/02/2001,4.469,
01/03/2001,4.458,
02/03/2001,4.468,
05/03/2001,4.5,
06/03/2001,4.489,
07/03/2001,4.434,
08/03/2001,4.423,
09/03/2001,4.443,
12/03/2001,4.421,
13/03/2001,4.41,
14/03/2001,4.291,
15/03/2001,4.194,
16/03/2001,4.182,
19/03/2001,4.246,
20/03/2001,4.181,
21/03/2001,4.159,
22/03/2001,4.095,
23/03/2001,4.201,
26/03/2001,4.19,
27/03/2001,4.297,
28/03/2001,4.221,
29/03/2001,4.146,
30/03/2001,4.113,
02/04/2001,4.091,
03/04/2001,4.005,
04/04/2001,3.962,
05/04/2001,3.994,
06/04/2001,3.886,
09/04/2001,3.918,
10/04/2001,4.014,
11/04/2001,4.099,
12/04/2001,4.119,
13/04/2001,4.119,
16/04/2001,4.225,
17/04/2001,4.161,
18/04/2001,3.936,
19/04/2001,3.936,
20/04/2001,3.85,
23/04/2001,3.733,
24/04/2001,3.732,
25/04/2001,3.812,
26/04/2001,3.785,
27/04/2001,3.88,
30/04/2001,3.922,
01/05/2001,3.88,
02/05/2001,3.901,
03/05/2001,3.858,
04/05/2001,3.751,
07/05/2001,3.708,
08/05/2001,3.676,
09/05/2001,3.633,
10/05/2001,3.718,
11/05/2001,3.781,
14/05/2001,3.759,
15/05/2001,3.685,
16/05/2001,3.653,
17/05/2001,3.706,
18/05/2001,3.726,
21/05/2001,3.758,
22/05/2001,3.747,
23/05/2001,3.694,
24/05/2001,3.725,
25/05/2001,3.703,
28/05/2001,3.699,
29/05/2001,3.692,
30/05/2001,3.661,
31/05/2001,3.565,
01/06/2001,3.596,
04/06/2001,3.617,
05/06/2001,3.575,
06/06/2001,3.564,
07/06/2001,3.564,
08/06/2001,3.563,
11/06/2001,3.542,
12/06/2001,3.5,
13/06/2001,3.5,
14/06/2001,3.436,
15/06/2001,3.404,
18/06/2001,3.393,
19/06/2001,3.288,
20/06/2001,3.372,
21/06/2001,3.372,
22/06/2001,3.329,
25/06/2001,3.34,
26/06/2001,3.413,
27/06/2001,3.497,
28/06/2001,3.581,
29/06/2001,3.634,
02/07/2001,3.591,
03/07/2001,3.623,
04/07/2001,3.612,
05/07/2001,3.59,
06/07/2001,3.548,
09/07/2001,3.548,
10/07/2001,3.496,
11/07/2001,3.495,
12/07/2001,3.495,
13/07/2001,3.526,
16/07/2001,3.505,
17/07/2001,3.505,
18/07/2001,3.41,
19/07/2001,3.442,
20/07/2001,3.431,
23/07/2001,3.42,
24/07/2001,3.441,
25/07/2001,3.473,
26/07/2001,3.441,
27/07/2001,3.441,
30/07/2001,3.43,
31/07/2001,3.42,
01/08/2001,3.441,
02/08/2001,3.451,
03/08/2001,3.44,
06/08/2001,3.43,
07/08/2001,3.43,
08/08/2001,3.388,
09/08/2001,3.356,
10/08/2001,3.325,
13/08/2001,3.314,
14/08/2001,3.324,
15/08/2001,3.324,
16/08/2001,3.293,
17/08/2001,3.261,
20/08/2001,3.303,
21/08/2001,3.293,
22/08/2001,3.303,
23/08/2001,3.303,
24/08/2001,#N/A,
27/08/2001,#N/A,
28/08/2001,#N/A,
29/08/2001,#N/A,
30/08/2001,#N/A,
31/08/2001,#N/A,
03/09/2001,#N/A,
04/09/2001,#N/A,
05/09/2001,#N/A,
06/09/2001,#N/A,
07/09/2001,#N/A,
10/09/2001,#N/A,
11/09/2001,#N/A,
12/09/2001,#N/A,
13/09/2001,#N/A,
14/09/2001,#N/A,
17/09/2001,#N/A,
18/09/2001,#N/A,
19/09/2001,#N/A,
20/09/2001,#N/A,
21/09/2001,#N/A,
24/09/2001,#N/A,
25/09/2001,#N/A,
26/09/2001,#N/A,
27/09/2001,#N/A,
28/09/2001,#N/A,
01/10/2001,#N/A,
02/10/2001,#N/A,
03/10/2001,#N/A,
04/10/2001,#N/A,
05/10/2001,#N/A,
08/10/2001,#N/A,
09/10/2001,#N/A,
10/10/2001,#N/A,
11/10/2001,#N/A,
12/10/2001,#N/A,
15/10/2001,#N/A,
16/10/2001,#N/A,
17/10/2001,#N/A,
18/10/2001,#N/A,
19/10/2001,#N/A,
22/10/2001,#N/A,
23/10/2001,#N/A,
24/10/2001,#N/A,
25/10/2001,#N/A,
26/10/2001,#N/A,
29/10/2001,#N/A,
30/10/2001,#N/A,
31/10/2001,#N/A,
01/11/2001,#N/A,
