s_ref,strike,maturity_days,moneyness,w,implied_vol,price,date
1280.2781,1433.9115,90,1.12,put,0.14514318498245163,161.7085651738754,2012-01-03
1280.2781,1446.7143,90,1.13,call,0.14110787570303748,1.3161759196714589,2012-01-03
1280.2781,1446.7143,90,1.13,put,0.14110787570303993,173.7571823813214,2012-01-03
1280.2781,1459.517,90,1.14,call,0.13774692668548558,0.8234464984560369,2012-01-03
1280.2781,1459.517,90,1.14,put,0.1377469266854842,186.0622534196499,2012-01-03
1280.2781,1472.3198,90,1.15,call,0.13499310682855484,0.5078294844607492,2012-01-03
1280.2781,1472.3198,90,1.15,put,0.1349931068285526,198.5444368651983,2012-01-03
1280.2781,1485.1226,90,1.16,call,0.13276358175725994,0.3097037158848694,2012-01-03
1280.2781,1485.1226,90,1.16,put,0.1327635817572599,211.14411155616634,2012-01-03
1280.2781,1497.9254,90,1.17,call,0.13097588264509552,0.18723369171469653,2012-01-03
1280.2781,1497.9254,90,1.17,put,0.13097588264510157,223.81944199153983,2012-01-03
1280.2781,1510.7282,90,1.18,call,0.12955653358223834,0.11242124434767355,2012-01-03
1280.2781,1510.7282,90,1.18,put,0.129556533582229,236.54243000371673,2012-01-03
1280.2781,1523.5309,90,1.19,call,0.1284423608194444,0.06713955660610049,2012-01-03
1280.2781,1523.5309,90,1.19,put,0.12844236081944277,249.29494877551906,2012-01-03
1280.2781,1536.3337,90,1.2,call,0.12758160249962194,0.03992852781075685,2012-01-03
1280.2781,1536.3337,90,1.2,put,0.12758160249962444,262.06553820626743,2012-01-03
1280.2781,960.2086,120,0.75,call,0.32603732475213215,317.78335764787954,2012-01-03
1280.2781,960.2086,120,0.75,put,0.3260373247521337,5.9651881250402905,2012-01-03
1280.2781,973.0114,120,0.76,call,0.3221534952293835,305.7205077671908,2012-01-03
1280.2781,973.0114,120,0.76,put,0.3221534952293836,6.698478954342865,2012-01-03
1280.2781,985.8141,120,0.77,call,0.31825344283738544,293.73379280834314,2012-01-03
1280.2781,985.8141,120,0.77,put,0.31825344283738444,7.507904705486731,2012-01-03
1280.2781,998.6169,120,0.78,call,0.31433562776206886,281.8295880721532,2012-01-03
1280.2781,998.6169,120,0.78,put,0.31433562776206964,8.399840679288147,2012-01-03
1280.2781,1011.4197,120,0.79,call,0.3103971836652229,270.01465901884364,2012-01-03
1280.2781,1011.4197,120,0.79,put,0.3103971836652221,9.381052335970018,2012-01-03
1280.2781,1024.2225,120,0.8,call,0.30643613336212183,258.2961736096164,2012-01-03
1280.2781,1024.2225,120,0.8,put,0.30643613336212117,10.45870763673423,2012-01-03
1280.2781,1037.0253,120,0.81,call,0.30244963491147914,246.68171423426926,2012-01-03
1280.2781,1037.0253,120,0.81,put,0.3024496349114789,11.640388971378378,2012-01-03
1280.2781,1049.828,120,0.82,call,0.2984351839963182,235.17928918171256,2012-01-03
1280.2781,1049.828,120,0.82,put,0.2984351839963179,12.934104628812916,2012-01-03
1280.2781,1062.6308,120,0.83,call,0.2943899090118345,223.7973436225876,2012-01-03
1280.2781,1062.6308,120,0.83,put,0.29438990901183415,14.348299779679456,2012-01-03
1280.2781,1075.4336,120,0.84,call,0.2903110684308271,212.54477009154093,2012-01-03
1280.2781,1075.4336,120,0.84,put,0.29031106843082655,15.89186695862426,2012-01-03
1280.2781,1088.2364,120,0.85,call,0.2861947157351048,201.43091848356633,2012-01-03
1280.2781,1088.2364,120,0.85,put,0.286194715735104,17.57415606064093,2012-01-03
1280.2781,1101.0392,120,0.86,call,0.28203807227664446,190.46560561781848,2012-01-03
1280.2781,1101.0392,120,0.86,put,0.2820380722766443,19.40498390488457,2012-01-03
1280.2781,1113.8419,120,0.87,call,0.27783719394167966,179.65912447874146,2012-01-03
